Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","6,937",G,"2,205",H,"10,230",G,"2,727",G,"1,781",G,"2,341",G,"5,907",G,"3,802",G,"3,768",G,"3,762",G,"6,395",G,"2,304",G,"3,645",G,"3,336",G,"3,885",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","37,622",G,"7,160",G,"33,358",G,"14,665",G,"6,698",G,"6,140",G,"18,144",G,"11,798",G,"13,273",G,"26,581",G,"28,520",G,"6,711",G,"18,374",G,"8,146",G,"13,046",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","51,880",H,"4,899",G,"19,164",H,"6,859",H,"4,516",G,"2,133",H,"11,698",G,"6,399",G,"7,764",G,"9,847",G,"12,358",G,"2,293",G,"18,182",G,"6,428",H,"10,217",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","29,949",G,"7,052",G,"27,690",G,"13,694",G,"11,340",G,"12,534",G,"23,260",G,"19,751",G,"17,690",G,"14,241",G,"17,400",G,"8,746",G,"22,900",G,"13,319",G,"19,988",G
Business,"Paid employees for pay period including March 12","Educational services","9,982",G,"2,189",G,"10,714",G,"7,019",G,"6,470",H,"4,230",G,"7,033",G,"3,758",G,"5,322",G,"12,447",H,"17,679",H,"5,506",G,"5,946",G,"3,099",G,"2,741",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","86,418",H,"36,848",G,"93,736",G,"38,033",G,"37,994",G,"50,189",G,"49,151",G,"35,416",G,"57,884",G,"65,904",H,"109,245",H,"35,401",G,"67,308",G,"35,935",G,"44,864",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","9,834",G,"1,689",G,"5,002",G,"4,471",G,"1,968",G,"2,028",G,"3,644",G,"3,253",G,"7,302",G,"3,510",G,"6,830",G,"1,944",G,"5,069",G,"2,538",G,"3,610",H
Business,"Paid employees for pay period including March 12","Accommodation and food services","35,959",G,"21,490",G,"36,293",G,"27,558",G,"22,903",G,"24,897",G,"28,942",G,"29,530",G,"34,103",G,"31,566",G,"26,532",G,"23,440",G,"30,692",G,"25,389",G,"27,149",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","16,990",G,"6,969",G,"16,612",G,"12,657",G,"10,330",G,"12,210",G,"13,908",G,"11,340",G,"12,119",G,"12,252",G,"13,051",G,"8,916",G,"15,278",G,"10,064",G,"11,365",G
Business,"Paid employees for pay period including March 12","Industries not classified",3,J,16,J,15,G,22,H,11,J,13,J,9,G,20,J,8,J,6,G,47,H,26,H,7,J,11,J,12,G
Business,"Annual payroll ($1,000)","Total for all sectors","31,297,384",G,"8,479,540",G,"25,674,220",G,"15,098,492",G,"11,647,701",G,"10,309,762",G,"18,868,503",G,"14,559,267",G,"16,683,163",G,"16,677,798",G,"26,192,572",G,"9,306,426",G,"18,068,020",G,"11,744,207",G,"18,013,569",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",303,G,"7,870",G,824,H,"1,756",G,"10,622",G,"1,273",H,"1,493",H,"3,904",H,"1,456",H,749,J,386,G,"4,847",H,"1,387",H,"5,881",G,"4,210",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","5,032",J,"25,815",H,"2,673",G,"12,320",H,"14,556",G,"266,189",H,"17,643",H,"14,528",H,"39,450",G,"4,451",H,"26,142",J,"112,077",G,"16,445",H,"37,016",H,"12,799",H
Business,"Annual payroll ($1,000)",Utilities,"158,629",J,"111,272",G,"394,236",J,"74,085",H,"71,085",H,"161,960",H,"57,166",J,"44,467",H,"138,513",H,"86,215",H,"125,388",J,"108,388",H,"475,592",J,"109,002",J,"529,883",H
Business,"Annual payroll ($1,000)",Construction,"1,246,748",G,"526,095",G,"1,321,748",G,"708,830",G,"703,721",G,"748,475",G,"1,193,469",G,"1,096,298",G,"1,121,637",G,"669,343",G,"832,548",G,"785,493",G,"1,138,998",G,"684,909",G,"1,046,201",G
Business,"Annual payroll ($1,000)",Manufacturing,"3,134,392",H,"1,659,627",G,"919,131",G,"4,356,322",G,"3,653,948",G,"2,179,748",G,"3,040,372",G,"3,065,505",G,"4,246,984",G,"2,342,654",G,"2,389,373",G,"2,144,733",G,"2,273,459",G,"3,391,030",G,"2,593,073",G
Business,"Annual payroll ($1,000)","Wholesale trade","1,782,044",G,"405,157",G,"883,122",G,"710,279",G,"724,413",G,"511,259",G,"1,750,141",G,"1,495,927",G,"951,348",G,"832,411",G,"1,389,777",G,"428,250",G,"1,404,531",G,"844,802",G,"1,445,194",G
Business,"Annual payroll ($1,000)","Retail trade","1,066,581",G,"959,847",G,"1,527,999",G,"1,113,010",G,"939,222",G,"1,044,806",G,"1,445,181",G,"1,193,022",G,"1,239,847",G,"1,160,472",G,"1,285,693",H,"945,682",G,"1,452,736",G,"1,173,788",G,"1,362,934",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","681,779",G,"682,120",H,"1,977,794",G,"566,804",G,"783,474",G,"550,946",G,"598,074",G,"930,683",G,"771,794",G,"649,622",H,"501,096",G,"601,060",H,"701,740",G,"370,465",G,"1,864,274",G
Business,"Annual payroll ($1,000)",Information,"1,412,997",G,"196,232",G,"883,613",G,"313,250",H,"99,922",G,"137,209",G,"885,041",G,"241,145",G,"232,265",H,"624,849",H,"506,019",G,"99,956",H,"450,004",G,"94,711",H,"527,054",H
Business,"Annual payroll ($1,000)","Finance and insurance","3,945,677",G,"407,017",G,"3,666,846",G,"1,886,265",H,"427,599",G,"348,046",G,"2,002,138",G,"1,192,243",G,"678,666",G,"1,043,698",G,"3,500,429",H,"425,128",H,"1,031,325",G,"300,442",G,"1,840,177",H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","484,293",G,"90,295",G,"634,635",G,"136,682",G,"73,100",G,"91,945",G,"374,896",G,"193,271",G,"227,342",G,"181,201",G,"424,608",G,"103,293",G,"189,494",G,"158,170",G,"245,882",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","3,605,018",G,"439,280",H,"3,032,605",G,"1,070,027",G,"316,667",G,"326,035",G,"1,327,402",G,"912,261",H,"999,676",G,"2,342,548",G,"2,677,738",G,"426,024",G,"1,279,185",G,"530,019",G,"1,032,139",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","4,035,908",H,"337,536",G,"1,987,349",H,"511,099",H,"615,447",H,"107,085",G,"1,089,362",G,"626,718",H,"821,078",H,"739,802",G,"1,737,920",G,"193,979",G,"1,710,319",G,"703,679",J,"1,044,389",G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","1,498,666",G,"270,387",G,"1,223,554",G,"552,561",G,"505,277",H,"623,361",G,"1,081,105",G,"814,689",G,"654,843",G,"565,585",G,"789,221",G,"325,662",G,"892,983",G,"785,864",H,"848,807",G
Business,"Annual payroll ($1,000)","Educational services","392,720",G,"58,525",G,"416,589",G,"210,372",G,"192,504",H,"121,274",G,"214,412",G,"136,879",G,"176,002",G,"396,590",H,"741,915",H,"171,701",G,"219,052",G,"83,639",G,"95,463",G
Business,"Annual payroll ($1,000)","Health care and social assistance","5,700,566",H,"1,680,641",G,"5,005,041",G,"1,855,667",G,"1,828,411",G,"2,274,020",G,"2,352,066",H,"1,616,058",G,"3,083,571",H,"3,903,092",H,"7,513,211",H,"1,727,461",H,"3,626,920",G,"1,667,526",G,"2,360,847",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","728,157",G,"40,113",G,"248,224",G,"97,404",G,"45,283",G,"49,324",H,"372,269",H,"65,919",G,"269,444",H,"82,689",G,"624,553",G,"48,273",G,"131,015",G,"63,357",G,"116,215",H
Business,"Annual payroll ($1,000)","Accommodation and food services","780,469",G,"379,194",G,"846,820",G,"505,454",G,"371,540",G,"416,763",G,"562,486",G,"541,251",G,"662,584",G,"606,221",G,"630,325",G,"408,646",G,"577,419",G,"435,490",G,"538,897",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","636,212",G,"202,222",G,"700,964",G,"415,948",G,"270,631",G,"349,622",G,"503,674",G,"374,052",G,"366,539",G,"445,464",G,"495,185",G,"244,900",G,"495,000",G,"304,183",G,"501,826",G
Business,"Annual payroll ($1,000)","Industries not classified","1,193",J,295,H,453,J,357,G,279,J,422,G,113,J,447,G,124,J,142,G,"1,045",H,873,G,416,H,234,H,"3,305",H
Business,"Total Establishments","Total for all sectors","18,838",X,"12,893",X,"20,052",X,"15,970",X,"14,883",X,"15,744",X,"20,399",X,"15,723",X,"17,668",X,"15,827",X,"18,027",X,"14,186",X,"19,343",X,"16,854",X,"14,726",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",7,X,63,X,4,X,30,X,29,X,15,X,19,X,14,X,14,X,3,X,5,X,42,X,11,X,32,X,11,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",8,X,40,X,6,X,23,X,25,X,171,X,39,X,21,X,19,X,9,X,7,X,126,X,23,X,47,X,16,X
Business,"Total Establishments",Utilities,56,X,72,X,82,X,52,X,43,X,71,X,27,X,31,X,38,X,26,X,22,X,75,X,51,X,31,X,39,X
Business,"Total Establishments",Construction,"1,114",X,"1,369",X,"1,062",X,"1,406",X,"1,525",X,"1,433",X,"1,867",X,"1,527",X,"1,371",X,"1,036",X,962,X,"1,645",X,"1,491",X,"1,833",X,"1,235",X
Business,"Total Establishments",Manufacturing,780,X,556,X,456,X,880,X,"1,020",X,932,X,"1,199",X,858,X,967,X,813,X,922,X,948,X,"1,022",X,"1,288",X,727,X
Business,"Total Establishments","Wholesale trade","1,015",X,488,X,763,X,735,X,703,X,686,X,"1,412",X,"1,005",X,846,X,708,X,977,X,506,X,"1,128",X,856,X,847,X
Business,"Total Establishments","Retail trade","2,131",X,"2,177",X,"2,396",X,"2,281",X,"2,116",X,"2,445",X,"2,406",X,"2,183",X,"2,564",X,"2,243",X,"2,311",X,"2,052",X,"2,455",X,"2,362",X,"1,950",X
Business,"Total Establishments","Transportation and warehousing",485,X,515,X,569,X,534,X,615,X,630,X,812,X,636,X,605,X,395,X,530,X,529,X,617,X,491,X,834,X
Business,"Total Establishments",Information,381,X,177,X,413,X,280,X,227,X,193,X,340,X,248,X,230,X,258,X,342,X,198,X,330,X,190,X,288,X
Business,"Total Establishments","Finance and insurance","1,383",X,711,X,"1,372",X,990,X,923,X,829,X,"1,397",X,883,X,"1,075",X,907,X,"1,106",X,763,X,"1,183",X,823,X,844,X
Business,"Total Establishments","Real estate and rental and leasing","1,066",X,552,X,"1,291",X,672,X,491,X,518,X,886,X,724,X,748,X,746,X,"1,009",X,581,X,821,X,618,X,772,X
Business,"Total Establishments","Professional, scientific, and technical services","2,465",X,912,X,"2,732",X,"1,378",X,965,X,"1,006",X,"2,136",X,"1,211",X,"1,307",X,"1,679",X,"2,204",X,943,X,"2,014",X,"1,368",X,"1,355",X
Business,"Total Establishments","Management of companies and enterprises",320,X,66,X,208,X,89,X,54,X,79,X,209,X,136,X,130,X,117,X,169,X,67,X,182,X,103,X,144,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,061",X,666,X,"1,060",X,867,X,757,X,853,X,"1,293",X,877,X,942,X,833,X,945,X,728,X,"1,178",X,"1,107",X,853,X
Business,"Total Establishments","Educational services",306,X,98,X,338,X,186,X,158,X,135,X,267,X,191,X,219,X,221,X,289,X,123,X,239,X,172,X,182,X
Business,"Total Establishments","Health care and social assistance","2,296",X,"1,552",X,"2,952",X,"1,828",X,"1,598",X,"1,944",X,"2,190",X,"1,732",X,"2,278",X,"2,194",X,"2,157",X,"1,547",X,"2,383",X,"1,840",X,"1,630",X
Business,"Total Establishments","Arts, entertainment, and recreation",326,X,207,X,314,X,299,X,230,X,229,X,292,X,224,X,338,X,233,X,284,X,241,X,301,X,253,X,204,X
Business,"Total Establishments","Accommodation and food services","1,793",X,"1,220",X,"2,140",X,"1,518",X,"1,475",X,"1,547",X,"1,707",X,"1,530",X,"2,078",X,"1,664",X,"1,856",X,"1,417",X,"1,770",X,"1,648",X,"1,455",X
Business,"Total Establishments","Other services (except public administration)","1,837",X,"1,434",X,"1,876",X,"1,905",X,"1,919",X,"2,016",X,"1,892",X,"1,675",X,"1,887",X,"1,733",X,"1,918",X,"1,638",X,"2,132",X,"1,784",X,"1,328",X
Business,"Total Establishments","Industries not classified",8,X,18,X,18,X,17,X,10,X,12,X,9,X,17,X,12,X,9,X,12,X,17,X,12,X,8,X,12,X

"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
